intent_id,intent_name,category,example_utterance,alternative_utterances,response_scope,transaction_sensitive,authentication_required,source_url,validation_status
I030,transfert_uba_sortant,Banking,Mets mon argent Moov Money sur UBA,Mets mon argent Moov Money sur UBA | transfert uba sortant | J’ai besoin d’aide pour transfert uba sortant | Comment faire pour transfert uba sortant ? | mets mon argent moov money sur uba,Initier après rattachement et confirmation,Oui,Oui,https://moovmoney.ga/moov-money-uba/,Derived intent seed — validate
I031,consulter_solde_uba,Banking,Quel est mon solde UBA ?,Quel est mon solde UBA ? | consulter solde uba | J’ai besoin d’aide pour consulter solde uba | Comment faire pour consulter solde uba ? | quel est mon solde uba ?,Authentifier puis interroger l’API bancaire,Non,Oui,https://moovmoney.ga/moov-money-uba/,Derived intent seed — validate
I032,carte_visa_info,Carte Visa,Comment fonctionne la carte Visa Moov Money ?,Comment fonctionne la carte Visa Moov Money ? | carte visa info | J’ai besoin d’aide pour carte visa info | Comment faire pour carte visa info ? | comment fonctionne la carte visa moov money ?,"Présenter usages, prérequis et tarifs",Non,Non,https://moovmoney.ga/carte-visa-uba-moov-money/,Derived intent seed — validate
I033,recharger_carte_visa,Carte Visa,Recharge ma carte Visa,Recharge ma carte Visa | recharger carte visa | J’ai besoin d’aide pour recharger carte visa | Comment faire pour recharger carte visa ? | recharge ma carte visa,Initier wallet vers carte avec confirmation,Oui,Oui,https://moovmoney.ga/carte-visa-uba-moov-money/,Derived intent seed — validate
I034,retrait_bgfi,Banking,Je veux retirer sans carte chez BGFI,Je veux retirer sans carte chez BGFI | retrait bgfi | J’ai besoin d’aide pour retrait bgfi | Comment faire pour retrait bgfi ? | je veux retirer sans carte chez bgfi,Guider le parcours et calculer les frais,Oui,Oui,https://moovmoney.ga/moov-money-banking/,Derived intent seed — validate
I035,devenir_marchand,Marchand,Je veux accepter Moov Money dans mon commerce,Je veux accepter Moov Money dans mon commerce | devenir marchand | J’ai besoin d’aide pour devenir marchand | Comment faire pour devenir marchand ? | je veux accepter moov money dans mon commerce,"Orienter vers le parcours standard, Online ou PayXpress",Non,Non,https://moovmoney.ga/devenir-marchand/,Derived intent seed — validate
I036,integrer_api_online,Marchand,Je veux intégrer Moov Money à mon site,Je veux intégrer Moov Money à mon site | integrer api online | J’ai besoin d’aide pour integrer api online | Comment faire pour integrer api online ? | je veux integrer moov money a mon site,"Présenter dossier, contrat et intégration technique",Non,Non,https://moovmoney.ga/marchand/moov-money-online-marchand/,Derived intent seed — validate
I037,devenir_revendeur,Revendeur,Comment devenir revendeur ?,Comment devenir revendeur ? | devenir revendeur | J’ai besoin d’aide pour devenir revendeur | Comment faire pour devenir revendeur ? | comment devenir revendeur ?,Lister documents et parcours,Non,Non,https://moovmoney.ga/devenir-revendeur/,Derived intent seed — validate
I038,devenir_revendeur_plus,Revendeur,Je veux devenir Revendeur Plus,Je veux devenir Revendeur Plus | devenir revendeur plus | J’ai besoin d’aide pour devenir revendeur plus | Comment faire pour devenir revendeur plus ? | je veux devenir revendeur plus,Vérifier éligibilité et fournir le contact spécialisé,Non,Oui,https://moovmoney.ga/services/devenir-revendeur-plus/,Derived intent seed — validate
I039,approvisionner_revendeur,Revendeur,Comment recharger mes UV chez BGFI ?,Comment recharger mes UV chez BGFI ? | approvisionner revendeur | J’ai besoin d’aide pour approvisionner revendeur | Comment faire pour approvisionner revendeur ? | comment recharger mes uv chez bgfi ?,Donner le parcours réservé aux revendeurs sans exposer d’informations sensibles inutilement,Oui,Oui,https://moovmoney.ga/services/approvisionnement-via-les-agences-bgfi/,Derived intent seed — validate
I040,plafond_compte,Plafonds,Quel est le plafond de mon compte ?,Quel est le plafond de mon compte ? | plafond compte | J’ai besoin d’aide pour plafond compte | Comment faire pour plafond compte ? | quel est le plafond de mon compte ?,Répondre avec le plafond concerné et sa période,Non,Non,https://moovmoney.ga/grille-tarifaire-client/,Derived intent seed — validate
I041,contacter_support,Support,Je veux parler à un conseiller,Je veux parler à un conseiller | contacter support | J’ai besoin d’aide pour contacter support | Comment faire pour contacter support ? | je veux parler a un conseiller,Fournir les contacts et proposer l’escalade humaine,Non,Non,https://moovmoney.ga/contact/,Derived intent seed — validate
I042,trouver_point_vente,Localisation,Où est le revendeur le plus proche ?,Où est le revendeur le plus proche ? | trouver point vente | J’ai besoin d’aide pour trouver point vente | Comment faire pour trouver point vente ? | ou est le revendeur le plus proche ?,Utiliser une API/CSV de points de vente non disponible dans le HTML,Non,Oui,https://moovmoney.ga/devenir-marchand/,Derived intent seed — validate
