tariff_id,intent,operation,amount_min_fcfa,amount_max_fcfa,fee_type,fee_value,fee_unit,fee_description,source_url,collected_at,validation_status
T071,devenir_marchand,Paiement marchand,350001,400000,Forfait,850,FCFA,Frais: 850 FCFA (Forfait).,https://moovmoney.ga/grille-tarifaire-client/,2026-07-21,Official public source
T072,moov_money,Transfert vers Moov Money,350001,400000,Forfait,850,FCFA,Frais: 850 FCFA (Forfait).,https://moovmoney.ga/grille-tarifaire-client/,2026-07-21,Official public source
T073,depot_argent,Dépôt / achat de crédit,400001,450000,Gratuit,0,FCFA,Frais: 0 FCFA (Gratuit).,https://moovmoney.ga/grille-tarifaire-client/,2026-07-21,Official public source
T074,retrait_argent,Retrait d’espèces,400001,450000,Forfait,5000,FCFA,Frais: 5000 FCFA (Forfait).,https://moovmoney.ga/grille-tarifaire-client/,2026-07-21,Official public source
T075,devenir_marchand,Paiement marchand,400001,450000,Forfait,900,FCFA,Frais: 900 FCFA (Forfait).,https://moovmoney.ga/grille-tarifaire-client/,2026-07-21,Official public source
T076,moov_money,Transfert vers Moov Money,400001,450000,Forfait,900,FCFA,Frais: 900 FCFA (Forfait).,https://moovmoney.ga/grille-tarifaire-client/,2026-07-21,Official public source
T077,depot_argent,Dépôt / achat de crédit,450001,500000,Gratuit,0,FCFA,Frais: 0 FCFA (Gratuit).,https://moovmoney.ga/grille-tarifaire-client/,2026-07-21,Official public source
T078,retrait_argent,Retrait d’espèces,450001,500000,Forfait,5000,FCFA,Frais: 5000 FCFA (Forfait).,https://moovmoney.ga/grille-tarifaire-client/,2026-07-21,Official public source
T079,devenir_marchand,Paiement marchand,450001,500000,Forfait,1000,FCFA,Frais: 1000 FCFA (Forfait).,https://moovmoney.ga/grille-tarifaire-client/,2026-07-21,Official public source
T080,moov_money,Transfert vers Moov Money,450001,500000,Forfait,1000,FCFA,Frais: 1000 FCFA (Forfait).,https://moovmoney.ga/grille-tarifaire-client/,2026-07-21,Official public source
T081,moov_money,Consultation de solde,,,Gratuit,0,FCFA,Frais: 0 FCFA (Gratuit).,https://moovmoney.ga/grille-tarifaire-client/,2026-07-21,Official public source
T082,moov_money,Changement de mot de passe,,,Gratuit,0,FCFA,Frais: 0 FCFA (Gratuit).,https://moovmoney.ga/grille-tarifaire-client/,2026-07-21,Official public source
T083,moov_money,Changement de surnom,,,Forfait,10,FCFA,Frais: 10 FCFA (Forfait).,https://moovmoney.ga/grille-tarifaire-client/,2026-07-21,Official public source
T084,moov_money,Rapport de transactions,,,Forfait,10,FCFA,Frais: 10 FCFA (Forfait).,https://moovmoney.ga/grille-tarifaire-client/,2026-07-21,Official public source
T085,moov_money,Informations,,,Gratuit,0,FCFA,Frais: 0 FCFA (Gratuit).,https://moovmoney.ga/grille-tarifaire-client/,2026-07-21,Official public source
T086,moov_money,Création de compte,,,Gratuit,0,FCFA,Frais: 0 FCFA (Gratuit).,https://moovmoney.ga/grille-tarifaire-client/,2026-07-21,Official public source
T087,moov_money,Annulation P2P,,,Forfait,200,FCFA,Frais: 200 FCFA (Forfait).,https://moovmoney.ga/grille-tarifaire-client/,2026-07-21,Official public source
T088,banking_uba,Moov Money vers banque,1000,160000,Pourcentage,3,%,Frais: 3 % (Pourcentage).,https://moovmoney.ga/grille-tarifaire-client/,2026-07-21,Official public source
T089,banking_uba,Moov Money vers banque,160001,500000,Forfait,5000,FCFA,Frais: 5000 FCFA (Forfait).,https://moovmoney.ga/grille-tarifaire-client/,2026-07-21,Official public source
T090,banking_uba,Banque vers Moov Money,1000,500000,Forfait,500,FCFA,Frais: 500 FCFA (Forfait).,https://moovmoney.ga/grille-tarifaire-client/,2026-07-21,Official public source
T091,banking_uba,Consultation solde bancaire,,,Forfait,100,FCFA,Frais: 100 FCFA (Forfait).,https://moovmoney.ga/grille-tarifaire-client/,2026-07-21,Official public source
T092,banking_uba,Consultation historique bancaire,,,Forfait,100,FCFA,Frais: 100 FCFA (Forfait).,https://moovmoney.ga/grille-tarifaire-client/,2026-07-21,Official public source
T093,retrait_argent,Retrait sans carte,5000,165000,Pourcentage,3,%,Frais: 3 % (Pourcentage).,https://moovmoney.ga/grille-tarifaire-client/,2026-07-21,Official public source
T094,retrait_argent,Retrait sans carte,165001,,Forfait,5000,FCFA,Frais: 5000 FCFA (Forfait).,https://moovmoney.ga/grille-tarifaire-client/,2026-07-21,Official public source
T095,partenaire,Achat unités MobileDan,,,Forfait,100,FCFA,Frais: 100 FCFA (Forfait).,https://moovmoney.ga/grille-tarifaire-client/,2026-07-21,Official public source
T096,partenaire,Paiement facture SEEG,,,Forfait,500,FCFA,Frais: 500 FCFA (Forfait).,https://moovmoney.ga/grille-tarifaire-client/,2026-07-21,Official public source
T097,payer_canal,Réabonnement Canal+,,,Gratuit,0,FCFA,Frais: 0 FCFA (Gratuit).,https://moovmoney.ga/grille-tarifaire-client/,2026-07-21,Official public source
T098,payer_satcon,Réabonnement SATCON,,,Gratuit,0,FCFA,Frais: 0 FCFA (Gratuit).,https://moovmoney.ga/grille-tarifaire-client/,2026-07-21,Official public source
T099,partenaire,Inscription Université Omar Bongo,,,Gratuit,0,FCFA,Frais: 0 FCFA (Gratuit).,https://moovmoney.ga/grille-tarifaire-client/,2026-07-21,Official public source
T100,payer_campus_france,Paiement Campus France,,,Forfait,350,FCFA,Frais: 350 FCFA (Forfait).,https://moovmoney.ga/grille-tarifaire-client/,2026-07-21,Official public source
T101,partenaire,Recharge Total Card,,,Fourchette,10–1000,FCFA,Frais: 10–1000 FCFA (Fourchette).,https://moovmoney.ga/grille-tarifaire-client/,2026-07-21,Official public source
T102,carte_visa,Carte Visa vers Moov Money,,,Forfait,1000,FCFA,Frais: 1000 FCFA (Forfait).,https://moovmoney.ga/carte-visa-uba-moov-money/,2026-07-21,Official public source
T103,carte_visa,Moov Money vers Carte Visa,,,Pourcentage,1.5,%,Frais: 1.5 % (Pourcentage).,https://moovmoney.ga/carte-visa-uba-moov-money/,2026-07-21,Official public source
T104,carte_visa,Consultation solde,,,Forfait,100,FCFA,Frais: 100 FCFA (Forfait).,https://moovmoney.ga/carte-visa-uba-moov-money/,2026-07-21,Official public source
T105,carte_visa,Consultation 5 dernières transactions,,,Forfait,100,FCFA,Frais: 100 FCFA (Forfait).,https://moovmoney.ga/carte-visa-uba-moov-money/,2026-07-21,Official public source
T106,carte_visa,Transfert carte à carte,,,Forfait,2380,FCFA,Frais: 2380 FCFA (Forfait).,https://moovmoney.ga/carte-visa-uba-moov-money/,2026-07-21,Official public source
T107,carte_visa,Maintenance mensuelle,,,Forfait,2380,FCFA,Frais: 2380 FCFA (Forfait).,https://moovmoney.ga/carte-visa-uba-moov-money/,2026-07-21,Official public source
T108,carte_visa,Achat sur TPE UBA,,,Forfait,1190,FCFA,Frais: 1190 FCFA (Forfait).,https://moovmoney.ga/carte-visa-uba-moov-money/,2026-07-21,Official public source
T109,carte_visa,Achat internet international / TPE hors UBA,,,Pourcentage,4.5,%,Frais: 4.5 % (Pourcentage).,https://moovmoney.ga/carte-visa-uba-moov-money/,2026-07-21,Official public source
T110,retrait_argent,Retrait GAB UBA,,,Gratuit,0,FCFA,Frais: 0 FCFA (Gratuit).,https://moovmoney.ga/carte-visa-uba-moov-money/,2026-07-21,Official public source
T111,retrait_argent,Retrait autre banque locale GIMAC,,,Forfait,1000,FCFA,Frais: 1000 FCFA (Forfait).,https://moovmoney.ga/carte-visa-uba-moov-money/,2026-07-21,Official public source
T112,retrait_argent,Retrait autre banque locale non-GIMAC,,,Forfait,2380,FCFA,Frais: 2380 FCFA (Forfait).,https://moovmoney.ga/carte-visa-uba-moov-money/,2026-07-21,Official public source
T113,retrait_argent,Retrait GAB zone euro,,,Pourcentage,5,%,Frais: 5 % (Pourcentage).,https://moovmoney.ga/carte-visa-uba-moov-money/,2026-07-21,Official public source
T114,retrait_argent,Retrait autre devise,,,Pourcentage,8,%,Frais: 8 % (Pourcentage).,https://moovmoney.ga/carte-visa-uba-moov-money/,2026-07-21,Official public source
