chunk_id,record_type,intent,category,subcategory,title,user_question,question_variants,chatbot_answer,detailed_context,procedure,fee_information,limit_information,eligibility,required_documents,channel,ussd_code,security_notice,escalation_condition,keywords,language,source_url,source_title,collected_at,confidence_score,validation_status
KB0011,page,payer_canal,Paiement,TV,Canal+ et SATCON,Que dois-je savoir sur Canal+ et SATCON ?,Que propose Canal+ et SATCON ? | Donnez-moi des informations sur Canal+ et SATCON | canal+ et satcon,Réabonnement TV via USSD ou application.,Réabonnement TV via USSD ou application.,,,,,,,,,,"Paiement, Canal+ et SATCON, payer_canal",fr,https://moovmoney.ga/services/canal-et-satcon/,Canal+ et SATCON,2026-07-21,0.95,Official public source
KB0012,page,payer_campus_france,Paiement,Éducation,Campus France,Que dois-je savoir sur Campus France ?,Que propose Campus France ? | Donnez-moi des informations sur Campus France | campus france,Paiement des frais Campus France depuis le compte Moov Money.,Paiement des frais Campus France depuis le compte Moov Money.,,,,,,,,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.","Escalate when the information is contradictory, the account must be verified, or the issue involves fraud, a blocked account, or an unrecognized transaction.","Paiement, Campus France, payer_campus_france",fr,https://moovmoney.ga/services/campus-france/,Campus France,2026-07-21,0.65,À valider
KB0013,page,paiement_online,Digital,E-commerce,Moov Money Online — client,Que dois-je savoir sur Moov Money Online — client ?,Que propose Moov Money Online — client ? | Donnez-moi des informations sur Moov Money Online — client | moov money online — client,Paiement en ligne sécurisé par validation et code PIN.,Paiement en ligne sécurisé par validation et code PIN.,,,,,,,,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",,"Digital, Moov Money Online — client, paiement_online",fr,https://moovmoney.ga/moov-money-online-client/,Moov Money Online — client,2026-07-21,0.95,Official public source
KB0014,page,paiement_payxpress,Digital,Paiement de proximité,PayXpress — client,Que dois-je savoir sur PayXpress — client ?,Que propose PayXpress — client ? | Donnez-moi des informations sur PayXpress — client | payxpress — client,"Paiement initié par le marchand, confirmé par le client.","Paiement initié par le marchand, confirmé par le client.",,,,,,,,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",,"Digital, PayXpress — client, paiement_payxpress",fr,https://moovmoney.ga/payxpress-client/,PayXpress — client,2026-07-21,0.95,Official public source
KB0015,page,paiement_payxpress,Marchand,Catalogue,Offre marchand,Que dois-je savoir sur Offre marchand ?,Que propose Offre marchand ? | Donnez-moi des informations sur Offre marchand | offre marchand,"Services standard, Online et PayXpress pour les commerçants.","Services standard, Online et PayXpress pour les commerçants.",,,,,,,,,,"Marchand, Offre marchand, paiement_payxpress",fr,https://moovmoney.ga/marchand/,Offre marchand,2026-07-21,0.95,Official public source
KB0016,page,devenir_marchand,Marchand,Paiement standard,Marchands standards et partenaires,Que dois-je savoir sur Marchands standards et partenaires ?,Que propose Marchands standards et partenaires ? | Donnez-moi des informations sur Marchands standards et partenaires | marchands standards et partenaires,Paiement marchand avec code marchand via USSD ou application.,Paiement marchand avec code marchand via USSD ou application.,,,,,,,,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",,"Marchand, Marchands standards et partenaires, devenir_marchand",fr,https://moovmoney.ga/marchand/standards-et-partenaires/,Marchands standards et partenaires,2026-07-21,0.95,Official public source
KB0017,page,paiement_online,Marchand,Intégration web,Moov Money Online — marchand,Que dois-je savoir sur Moov Money Online — marchand ?,Que propose Moov Money Online — marchand ? | Donnez-moi des informations sur Moov Money Online — marchand | moov money online — marchand,Intégration de paiement e-commerce et processus d’adhésion.,Intégration de paiement e-commerce et processus d’adhésion.,,,,,,,,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",,"Marchand, Moov Money Online — marchand, paiement_online",fr,https://moovmoney.ga/marchand/moov-money-online-marchand/,Moov Money Online — marchand,2026-07-21,0.95,Official public source
KB0018,page,paiement_payxpress,Marchand,Paiement de proximité,PayXpress — marchand,Que dois-je savoir sur PayXpress — marchand ?,Que propose PayXpress — marchand ? | Donnez-moi des informations sur PayXpress — marchand | payxpress — marchand,Encaissement dématérialisé initié par le marchand.,Encaissement dématérialisé initié par le marchand.,,,,,,,,,,"Marchand, PayXpress — marchand, paiement_payxpress",fr,https://moovmoney.ga/marchand/payxpress-marchand/,PayXpress — marchand,2026-07-21,0.95,Official public source
KB0019,page,devenir_marchand,Marchand,Onboarding,Devenir marchand,Que dois-je savoir sur Devenir marchand ?,Que propose Devenir marchand ? | Donnez-moi des informations sur Devenir marchand | devenir marchand,Procédures selon le type de marchand.,Procédures selon le type de marchand.,,,,,,,,,,"Marchand, Devenir marchand, devenir_marchand",fr,https://moovmoney.ga/devenir-marchand/,Devenir marchand,2026-07-21,0.95,Official public source
KB0020,page,interoperabilite,Interopérabilité,CEMAC,GIMACPAY,Que dois-je savoir sur GIMACPAY ?,Que propose GIMACPAY ? | Donnez-moi des informations sur GIMACPAY | gimacpay,"Interopérabilité Mobile Money, banque, carte et transferts dans la CEMAC.","Interopérabilité Mobile Money, banque, carte et transferts dans la CEMAC.",,,,,,,,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",,"Interopérabilité, GIMACPAY, interoperabilite",fr,https://moovmoney.ga/services/interoperabilite-gimacpay/,GIMACPAY,2026-07-21,0.95,Official public source
KB0021,page,interoperabilite,Interopérabilité,Transfert,Transfert international CEMAC,Que dois-je savoir sur Transfert international CEMAC ?,Que propose Transfert international CEMAC ? | Donnez-moi des informations sur Transfert international CEMAC | transfert international cemac,Envoi d’argent dans six pays CEMAC via GIMACPAY.,Envoi d’argent dans six pays CEMAC via GIMACPAY.,,,,,,,,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",,"Interopérabilité, Transfert international CEMAC, interoperabilite",fr,https://moovmoney.ga/services/transfert-international/,Transfert international CEMAC,2026-07-21,0.95,Official public source
KB0022,page,interoperabilite,Interopérabilité,Rémittence,Rémittence entrante,Que dois-je savoir sur Rémittence entrante ?,Que propose Rémittence entrante ? | Donnez-moi des informations sur Rémittence entrante | remittence entrante,Réception de fonds depuis des partenaires internationaux.,Réception de fonds depuis des partenaires internationaux.,,,,,,,,,,"Interopérabilité, Rémittence entrante, interoperabilite",fr,https://moovmoney.ga/services/remittence-entrante/,Rémittence entrante,2026-07-21,0.95,Official public source
KB0023,page,banking,Banking,Catalogue,Moov Money Banking,Que dois-je savoir sur Moov Money Banking ?,Que propose Moov Money Banking ? | Donnez-moi des informations sur Moov Money Banking | moov money banking,Vue d’ensemble des services bancaires reliés au wallet.,Vue d’ensemble des services bancaires reliés au wallet.,,,,,,,,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",,"Banking, Moov Money Banking, banking",fr,https://moovmoney.ga/services/moov-money-banking/,Moov Money Banking,2026-07-21,0.95,Official public source
KB0024,page,banking_uba,Banking,UBA,Moov Money UBA,Que dois-je savoir sur Moov Money UBA ?,Que propose Moov Money UBA ? | Donnez-moi des informations sur Moov Money UBA | moov money uba,Rattachement du wallet à un compte ou une carte UBA.,Rattachement du wallet à un compte ou une carte UBA.,,,,,,,,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",,"Banking, Moov Money UBA, banking_uba",fr,https://moovmoney.ga/moov-money-uba/,Moov Money UBA,2026-07-21,0.95,Official public source
KB0025,page,carte_visa,Banking,Carte Visa,Carte Visa UBA Moov Money,Que dois-je savoir sur Carte Visa UBA Moov Money ?,Que propose Carte Visa UBA Moov Money ? | Donnez-moi des informations sur Carte Visa UBA Moov Money | carte visa uba moov money,"Carte Visa prépayée liée au wallet, tarifs et usages.","Carte Visa prépayée liée au wallet, tarifs et usages.",,,,,,,,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",,"Banking, Carte Visa UBA Moov Money, carte_visa",fr,https://moovmoney.ga/carte-visa-uba-moov-money/,Carte Visa UBA Moov Money,2026-07-21,0.95,Official public source
KB0026,page,retrait_argent,Banking,BGFI,Retrait GAB BGFIBank,Que dois-je savoir sur Retrait GAB BGFIBank ?,Que propose Retrait GAB BGFIBank ? | Donnez-moi des informations sur Retrait GAB BGFIBank | retrait gab bgfibank,Retrait sans carte dans le réseau de distributeurs BGFI.,Retrait sans carte dans le réseau de distributeurs BGFI.,,,,,,,,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",,"Banking, Retrait GAB BGFIBank, retrait_argent",fr,https://moovmoney.ga/moov-money-banking/,Retrait GAB BGFIBank,2026-07-21,0.95,Official public source
KB0027,page,devenir_revendeur_plus,Revendeur,Catalogue,Services revendeurs,Que dois-je savoir sur Services revendeurs ?,Que propose Services revendeurs ? | Donnez-moi des informations sur Services revendeurs | services revendeurs,"Revendeur Plus, vente express et approvisionnement BGFI.","Revendeur Plus, vente express et approvisionnement BGFI.",,,,,,,,,,"Revendeur, Services revendeurs, devenir_revendeur_plus",fr,https://moovmoney.ga/revendeur/,Services revendeurs,2026-07-21,0.95,Official public source
KB0028,page,devenir_revendeur,Revendeur,Onboarding,Devenir revendeur,Que dois-je savoir sur Devenir revendeur ?,Que propose Devenir revendeur ? | Donnez-moi des informations sur Devenir revendeur | devenir revendeur,Formalités pour devenir revendeur Moov Money.,Formalités pour devenir revendeur Moov Money.,,,,,,,,,,"Revendeur, Devenir revendeur, devenir_revendeur",fr,https://moovmoney.ga/devenir-revendeur/,Devenir revendeur,2026-07-21,0.95,Official public source
KB0029,page,devenir_revendeur_plus,Revendeur,Financement UV,Devenir Revendeur Plus,Que dois-je savoir sur Devenir Revendeur Plus ?,Que propose Devenir Revendeur Plus ? | Donnez-moi des informations sur Devenir Revendeur Plus | devenir revendeur plus,Facilité d’approvisionnement en UV jusqu’à 500 000 FCFA.,Facilité d’approvisionnement en UV jusqu’à 500 000 FCFA.,,,,,,,,,,"Revendeur, Devenir Revendeur Plus, devenir_revendeur_plus",fr,https://moovmoney.ga/services/devenir-revendeur-plus/,Devenir Revendeur Plus,2026-07-21,0.95,Official public source
KB0030,page,devenir_revendeur,Revendeur,Approvisionnement,Approvisionnement BGFIBank,Que dois-je savoir sur Approvisionnement BGFIBank ?,Que propose Approvisionnement BGFIBank ? | Donnez-moi des informations sur Approvisionnement BGFIBank | approvisionnement bgfibank,Approvisionnement en UV en agence BGFIBank.,Approvisionnement en UV en agence BGFIBank.,,,,,,,,,,"Revendeur, Approvisionnement BGFIBank, devenir_revendeur",fr,https://moovmoney.ga/services/approvisionnement-via-les-agences-bgfi/,Approvisionnement BGFIBank,2026-07-21,0.95,Official public source
KB0031,page,tarifs,Tarifs,Tarification,Grille tarifaire client,Que dois-je savoir sur Grille tarifaire client ?,Que propose Grille tarifaire client ? | Donnez-moi des informations sur Grille tarifaire client | grille tarifaire client,"Tarifs des transactions, opérations partenaires et plafonds.","Tarifs des transactions, opérations partenaires et plafonds.",,,,,,,,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.","Escalate when the information is contradictory, the account must be verified, or the issue involves fraud, a blocked account, or an unrecognized transaction.","Tarifs, Grille tarifaire client, tarifs",fr,https://moovmoney.ga/grille-tarifaire-client/,Grille tarifaire client,2026-07-21,0.65,À valider
KB0032,page,support,Support,Contact,Contact,Que dois-je savoir sur Contact ?,Que propose Contact ? | Donnez-moi des informations sur Contact | contact,Coordonnées de Moov Money SA et formulaire de contact.,Coordonnées de Moov Money SA et formulaire de contact.,,,,,,,,,"Escalate when the information is contradictory, the account must be verified, or the issue involves fraud, a blocked account, or an unrecognized transaction.","Support, Contact, support",fr,https://moovmoney.ga/contact/,Contact,2026-07-21,0.65,À valider
KB0033,service,activer_compte,Compte,,Création/activation du compte,Comment fonctionne Création/activation du compte ?,Comment utiliser Création/activation du compte ? | Comment fonctionne Création/activation du compte ? | Je veux utiliser Création/activation du compte,"Ouvrir ou activer un compte lié à une SIM Moov identifiée. Canaux : En ligne, agence, distributeur agréé. Accès : *555# pour modifier le mot de passe temporaire. Conditions : Pièce d’identité; SIM au nom du client.","Ouvrir ou activer un compte lié à une SIM Moov identifiée. | Channels: En ligne, agence, distributeur agréé | USSD: *555# pour modifier le mot de passe temporaire | Requirements: Pièce d’identité; SIM au nom du client | Security notes: Authentification/identification requise | Transactional: Non",,,,,Pièce d’identité; SIM au nom du client,"En ligne, agence, distributeur agréé",*555# pour modifier le mot de passe temporaire,,,"Compte, Création/activation du compte, activer_compte, En ligne, agence, distributeur agréé, *555# pour modifier le mot de passe temporaire",fr,https://moovmoney.ga/devenir-client/,Création/activation du compte,2026-07-21,0.95,Official public source
KB0034,service,transfert_national,Transfert,,Transfert national,Comment fonctionne Transfert national ?,Comment utiliser Transfert national ? | Comment fonctionne Transfert national ? | Je veux utiliser Transfert national,Envoyer de l’argent à un autre numéro au Gabon. Canaux : USSD; application. Accès : *555#. Conditions : Solde suffisant; numéro destinataire.,Envoyer de l’argent à un autre numéro au Gabon. | Channels: USSD; application | USSD: *555# | Requirements: Solde suffisant; numéro destinataire | Security notes: PIN obligatoire avant confirmation | Transactional: Oui,,,,Solde suffisant; numéro destinataire,,USSD; application,*555#,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",,"Transfert, Transfert national, transfert_national, USSD; application, *555#",fr,https://moovmoney.ga/services/transfert-national/,Transfert national,2026-07-21,0.95,Official public source
KB0035,service,depot_argent,Dépôt,,Dépôt d’espèces,Comment fonctionne Dépôt d’espèces ?,Comment utiliser Dépôt d’espèces ? | Comment fonctionne Dépôt d’espèces ? | Je veux utiliser Dépôt d’espèces,Convertir des espèces en unités de valeur sur le compte. Canaux : Agent; agence; kiosque. Accès : Opération initiée par l’agent. Conditions : Compte actif.,Convertir des espèces en unités de valeur sur le compte. | Channels: Agent; agence; kiosque | USSD: Opération initiée par l’agent | Requirements: Compte actif | Security notes: Dépôt annoncé gratuit | Transactional: Oui,,,,Compte actif,,Agent; agence; kiosque,Opération initiée par l’agent,,,"Dépôt, Dépôt d’espèces, depot_argent, Agent; agence; kiosque, Opération initiée par l’agent",fr,https://moovmoney.ga/services/depot/,Dépôt d’espèces,2026-07-21,0.95,Official public source
KB0036,service,retrait_argent,Retrait,,Retrait d’espèces,Comment fonctionne Retrait d’espèces ?,Comment utiliser Retrait d’espèces ? | Comment fonctionne Retrait d’espèces ? | Je veux utiliser Retrait d’espèces,Retirer des espèces chez un agent/revendeur. Canaux : USSD; application. Accès : *555#. Conditions : Compte actif; code agent; solde suffisant.,Retirer des espèces chez un agent/revendeur. | Channels: USSD; application | USSD: *555# | Requirements: Compte actif; code agent; solde suffisant | Security notes: PIN obligatoire | Transactional: Oui,,,,Compte actif; code agent; solde suffisant,,USSD; application,*555#,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",,"Retrait, Retrait d’espèces, retrait_argent, USSD; application, *555#",fr,https://moovmoney.ga/services/retrait/,Retrait d’espèces,2026-07-21,0.95,Official public source
KB0037,service,telecom,Télécom,,Achat de crédit,Comment fonctionne Achat de crédit ?,Comment utiliser Achat de crédit ? | Comment fonctionne Achat de crédit ? | Je veux utiliser Achat de crédit,Acheter du crédit pour son numéro ou un tiers. Canaux : USSD; application. Accès : *555#. Conditions : Compte actif.,Acheter du crédit pour son numéro ou un tiers. | Channels: USSD; application | USSD: *555# | Requirements: Compte actif | Security notes: Achat annoncé gratuit | Transactional: Oui,,,,Compte actif,,USSD; application,*555#,,,"Télécom, Achat de crédit, telecom, USSD; application, *555#",fr,https://moovmoney.ga/services/recharges/,Achat de crédit,2026-07-21,0.95,Official public source
KB0038,service,acheter_forfait_data,Télécom,,Achat de forfait data,Comment fonctionne Achat de forfait data ?,Comment utiliser Achat de forfait data ? | Comment fonctionne Achat de forfait data ? | Je veux utiliser Achat de forfait data,Acheter un pass internet pour mobile ou SpeedBox. Canaux : USSD; application; e-catalogue. Accès : *555*4#. Conditions : Compte actif.,Acheter un pass internet pour mobile ou SpeedBox. | Channels: USSD; application; e-catalogue | USSD: *555*4# | Requirements: Compte actif | Security notes: Choix du bénéficiaire et du pass | Transactional: Oui,,,,Compte actif,,USSD; application; e-catalogue,*555*4#,,,"Télécom, Achat de forfait data, acheter_forfait_data, USSD; application; e-catalogue, *555*4#",fr,https://moovmoney.ga/services/achat-de-forfait/,Achat de forfait data,2026-07-21,0.95,Official public source
KB0039,service,acheter_forfait_voix,Télécom,,Achat de forfait voix,Comment fonctionne Achat de forfait voix ?,Comment utiliser Achat de forfait voix ? | Comment fonctionne Achat de forfait voix ? | Je veux utiliser Achat de forfait voix,Acheter un pass voix pour soi ou un tiers. Canaux : USSD; application; e-catalogue. Accès : *555*4#. Conditions : Compte actif.,Acheter un pass voix pour soi ou un tiers. | Channels: USSD; application; e-catalogue | USSD: *555*4# | Requirements: Compte actif | Security notes: Choix du bénéficiaire et du pass | Transactional: Oui,,,,Compte actif,,USSD; application; e-catalogue,*555*4#,,,"Télécom, Achat de forfait voix, acheter_forfait_voix, USSD; application; e-catalogue, *555*4#",fr,https://moovmoney.ga/services/achat-de-forfait/,Achat de forfait voix,2026-07-21,0.95,Official public source
KB0040,service,payer_seeg_edan,Factures,,Paiement SEEG/EDAN,Comment fonctionne Paiement SEEG/EDAN ?,Comment utiliser Paiement SEEG/EDAN ? | Comment fonctionne Paiement SEEG/EDAN ? | Je veux utiliser Paiement SEEG/EDAN,Payer une facture ou acheter des unités MobileDan. Canaux : USSD; application. Accès : *555*6#. Conditions : Référence/compteur; compte actif.,Payer une facture ou acheter des unités MobileDan. | Channels: USSD; application | USSD: *555*6# | Requirements: Référence/compteur; compte actif | Security notes: PIN obligatoire | Transactional: Oui,,,,Référence/compteur; compte actif,,USSD; application,*555*6#,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",,"Factures, Paiement SEEG/EDAN, payer_seeg_edan, USSD; application, *555*6#",fr,https://moovmoney.ga/services/paiement-seeg-et-edan/,Paiement SEEG/EDAN,2026-07-21,0.95,Official public source
KB0041,service,payer_gabon_telecom,Factures,,Paiement Gabon Telecom,Comment fonctionne Paiement Gabon Telecom ?,Comment utiliser Paiement Gabon Telecom ? | Comment fonctionne Paiement Gabon Telecom ? | Je veux utiliser Paiement Gabon Telecom,"Payer ADSL, DUO ou Fibre. Canaux : USSD; application. Accès : *555#. Conditions : Numéro fixe ou référence client.","Payer ADSL, DUO ou Fibre. | Channels: USSD; application | USSD: *555# | Requirements: Numéro fixe ou référence client | Security notes: PIN obligatoire | Transactional: Oui",,,,Numéro fixe ou référence client,,USSD; application,*555#,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",,"Factures, Paiement Gabon Telecom, payer_gabon_telecom, USSD; application, *555#",fr,https://moovmoney.ga/services/facture-gabon-telecom/,Paiement Gabon Telecom,2026-07-21,0.95,Official public source
KB0042,service,payer_canal,TV,,Réabonnement Canal+,Comment fonctionne Réabonnement Canal+ ?,Comment utiliser Réabonnement Canal+ ? | Comment fonctionne Réabonnement Canal+ ? | Je veux utiliser Réabonnement Canal+,Renouveler un abonnement Canal+. Canaux : USSD; application. Accès : *555*5#. Conditions : Numéro de carte/abonné.,Renouveler un abonnement Canal+. | Channels: USSD; application | USSD: *555*5# | Requirements: Numéro de carte/abonné | Security notes: Tarif de service annoncé gratuit | Transactional: Oui,,,,Numéro de carte/abonné,,USSD; application,*555*5#,,,"TV, Réabonnement Canal+, payer_canal, USSD; application, *555*5#",fr,https://moovmoney.ga/services/canal-et-satcon/,Réabonnement Canal+,2026-07-21,0.95,Official public source
KB0043,service,payer_canal,TV,,Réabonnement SATCON,Comment fonctionne Réabonnement SATCON ?,Comment utiliser Réabonnement SATCON ? | Comment fonctionne Réabonnement SATCON ? | Je veux utiliser Réabonnement SATCON,Renouveler un abonnement SATCON. Canaux : USSD; application. Accès : *555*5#. Conditions : Numéro de carte/abonné.,Renouveler un abonnement SATCON. | Channels: USSD; application | USSD: *555*5# | Requirements: Numéro de carte/abonné | Security notes: Tarif de service annoncé gratuit | Transactional: Oui,,,,Numéro de carte/abonné,,USSD; application,*555*5#,,,"TV, Réabonnement SATCON, payer_canal, USSD; application, *555*5#",fr,https://moovmoney.ga/services/canal-et-satcon/,Réabonnement SATCON,2026-07-21,0.95,Official public source
KB0044,service,payer_campus_france,Éducation,,Paiement Campus France,Comment fonctionne Paiement Campus France ?,Comment utiliser Paiement Campus France ? | Comment fonctionne Paiement Campus France ? | Je veux utiliser Paiement Campus France,Payer les frais de dossier Campus France. Canaux : USSD; application. Accès : *555# > Paiement > Campus France. Conditions : Numéro de dossier.,Payer les frais de dossier Campus France. | Channels: USSD; application | USSD: *555# > Paiement > Campus France | Requirements: Numéro de dossier | Security notes: Validation annoncée sous 72 h; divergence 350/450 F | Transactional: Oui,,,,,Numéro de dossier,USSD; application,*555# > Paiement > Campus France,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.","Escalate when the information is contradictory, the account must be verified, or the issue involves fraud, a blocked account, or an unrecognized transaction.","Éducation, Paiement Campus France, payer_campus_france, USSD; application, *555# > Paiement > Campus France",fr,https://moovmoney.ga/services/campus-france/,Paiement Campus France,2026-07-21,0.95,Official public source
KB0045,service,paiement_online,E-commerce,,Moov Money Online,Comment fonctionne Moov Money Online ?,Comment utiliser Moov Money Online ? | Comment fonctionne Moov Money Online ? | Je veux utiliser Moov Money Online,Payer chez un marchand web partenaire. Canaux : Site marchand; validation mobile. Accès : Aucun code USSD requis au checkout. Conditions : Compte actif; numéro Moov Money.,Payer chez un marchand web partenaire. | Channels: Site marchand; validation mobile | USSD: Aucun code USSD requis au checkout | Requirements: Compte actif; numéro Moov Money | Security notes: Confirmation par notification et PIN | Transactional: Oui,,,,Compte actif; numéro Moov Money,,Site marchand; validation mobile,Aucun code USSD requis au checkout,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",,"E-commerce, Moov Money Online, paiement_online, Site marchand; validation mobile, Aucun code USSD requis au checkout",fr,https://moovmoney.ga/moov-money-online-client/,Moov Money Online,2026-07-21,0.95,Official public source
