procedure_id,intent,service_name,category,channel,entry_point,step_number,instruction,confirmation_required,security_notice,source_url,validation_status
PR011,retrait_argent,Retrait d’espèces,Retrait d’espèces,USSD,*555#,1,Choisir Retrait.,No,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/retrait/,Official public source
PR012,retrait_argent,Retrait d’espèces,Retrait d’espèces,USSD,*555#,2,Sélectionner le type de retrait proposé.,No,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/retrait/,Official public source
PR013,retrait_argent,Retrait d’espèces,Retrait d’espèces,USSD,*555#,3,Saisir le code de l’agent.,No,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/retrait/,Official public source
PR014,retrait_argent,Retrait d’espèces,Retrait d’espèces,USSD,*555#,4,Saisir le montant.,No,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/retrait/,Official public source
PR015,retrait_argent,Retrait d’espèces,Retrait d’espèces,USSD,*555#,5,Valider avec le code PIN.,Yes,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/retrait/,Official public source
PR016,achat_de_credit,Achat de crédit,Achat de crédit,USSD,*555#,1,Choisir Achat de crédit.,No,,https://moovmoney.ga/services/recharges/,Official public source
PR017,achat_de_credit,Achat de crédit,Achat de crédit,USSD,*555#,2,Indiquer si la recharge concerne son numéro ou un tiers.,No,,https://moovmoney.ga/services/recharges/,Official public source
PR018,achat_de_credit,Achat de crédit,Achat de crédit,USSD,*555#,3,Saisir le numéro si nécessaire.,No,,https://moovmoney.ga/services/recharges/,Official public source
PR019,achat_de_credit,Achat de crédit,Achat de crédit,USSD,*555#,4,Saisir le montant.,No,,https://moovmoney.ga/services/recharges/,Official public source
PR020,achat_de_credit,Achat de crédit,Achat de crédit,USSD,*555#,5,Valider avec le code PIN.,Yes,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/recharges/,Official public source
PR021,achat_de_forfait,Achat de forfait,Achat de forfait,USSD,*555*4#,1,Ouvrir Achat de forfait.,No,,https://moovmoney.ga/services/achat-de-forfait/,Official public source
PR022,achat_de_forfait,Achat de forfait,Achat de forfait,USSD,*555*4#,2,"Choisir le bénéficiaire: soi-même, tiers ou SpeedBox.",No,,https://moovmoney.ga/services/achat-de-forfait/,Official public source
PR023,acheter_forfait_voix,Achat de forfait,Achat de forfait,USSD,*555*4#,3,Choisir la famille Voix ou Data.,No,,https://moovmoney.ga/services/achat-de-forfait/,Official public source
PR024,achat_de_forfait,Achat de forfait,Achat de forfait,USSD,*555*4#,4,Sélectionner le pass.,No,,https://moovmoney.ga/services/achat-de-forfait/,Official public source
PR025,achat_de_forfait,Achat de forfait,Achat de forfait,USSD,*555*4#,5,Confirmer avec le code PIN.,Yes,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/achat-de-forfait/,Official public source
PR026,payer_seeg_edan,Paiement SEEG/EDAN,Paiement SEEG/EDAN,USSD,*555*6#,1,Ouvrir le menu SEEG.,No,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/paiement-seeg-et-edan/,Official public source
PR027,payer_seeg_edan,Paiement SEEG/EDAN,Paiement SEEG/EDAN,USSD,*555*6#,2,Choisir MobileDan ou le type de service.,No,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/paiement-seeg-et-edan/,Official public source
PR028,payer_seeg_edan,Paiement SEEG/EDAN,Paiement SEEG/EDAN,USSD,*555*6#,3,Choisir Paiement.,No,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/paiement-seeg-et-edan/,Official public source
PR029,payer_seeg_edan,Paiement SEEG/EDAN,Paiement SEEG/EDAN,USSD,*555*6#,4,Renseigner le contact ou la référence.,No,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/paiement-seeg-et-edan/,Official public source
PR030,payer_seeg_edan,Paiement SEEG/EDAN,Paiement SEEG/EDAN,USSD,*555*6#,5,Préciser si le compteur est enregistré.,No,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/paiement-seeg-et-edan/,Official public source
PR031,payer_seeg_edan,Paiement SEEG/EDAN,Paiement SEEG/EDAN,USSD,*555*6#,6,Saisir le nom et le montant demandés.,No,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/paiement-seeg-et-edan/,Official public source
PR032,payer_seeg_edan,Paiement SEEG/EDAN,Paiement SEEG/EDAN,USSD,*555*6#,7,Valider avec le code PIN.,Yes,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/paiement-seeg-et-edan/,Official public source
PR033,payer_gabon_telecom,Paiement Gabon Telecom,Paiement Gabon Telecom,USSD,*555#,1,Choisir Paiement.,No,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/facture-gabon-telecom/,Official public source
PR034,payer_gabon_telecom,Paiement Gabon Telecom,Paiement Gabon Telecom,USSD,*555#,2,Choisir Gabon Telecom.,No,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/facture-gabon-telecom/,Official public source
PR035,payer_gabon_telecom,Paiement Gabon Telecom,Paiement Gabon Telecom,USSD,*555#,3,"Sélectionner ADSL, DUO ou Fibre.",No,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/facture-gabon-telecom/,Official public source
PR036,payer_gabon_telecom,Paiement Gabon Telecom,Paiement Gabon Telecom,USSD,*555#,4,Saisir le numéro fixe ou la référence.,No,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/facture-gabon-telecom/,Official public source
PR037,payer_gabon_telecom,Paiement Gabon Telecom,Paiement Gabon Telecom,USSD,*555#,5,Choisir le paiement.,No,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/facture-gabon-telecom/,Official public source
PR038,payer_gabon_telecom,Paiement Gabon Telecom,Paiement Gabon Telecom,USSD,*555#,6,Confirmer avec le code PIN.,Yes,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/facture-gabon-telecom/,Official public source
PR039,payer_canal,Réabonnement Canal+,Réabonnement Canal+,USSD,*555*5#,1,Choisir Paiement.,No,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/canal-et-satcon/,Official public source
PR040,payer_canal,Réabonnement Canal+,Réabonnement Canal+,USSD,*555*5#,2,Choisir Canal+.,No,,https://moovmoney.ga/services/canal-et-satcon/,Official public source
PR041,payer_canal,Réabonnement Canal+,Réabonnement Canal+,USSD,*555*5#,3,Sélectionner le type de transaction.,No,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/canal-et-satcon/,Official public source
PR042,payer_canal,Réabonnement Canal+,Réabonnement Canal+,USSD,*555*5#,4,Indiquer si la carte est enregistrée.,No,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/canal-et-satcon/,Official public source
PR043,payer_canal,Réabonnement Canal+,Réabonnement Canal+,USSD,*555*5#,5,Vérifier le numéro de carte.,No,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/canal-et-satcon/,Official public source
PR044,payer_canal,Réabonnement Canal+,Réabonnement Canal+,USSD,*555*5#,6,Confirmer avec le code PIN.,Yes,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/canal-et-satcon/,Official public source
PR045,payer_canal,Réabonnement SATCON,Réabonnement SATCON,USSD,*555*5#,1,Choisir Paiement.,No,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/canal-et-satcon/,Official public source
PR046,payer_canal,Réabonnement SATCON,Réabonnement SATCON,USSD,*555*5#,2,Choisir SATCON.,No,,https://moovmoney.ga/services/canal-et-satcon/,Official public source
PR047,payer_canal,Réabonnement SATCON,Réabonnement SATCON,USSD,*555*5#,3,Sélectionner la nature de l’opération.,No,,https://moovmoney.ga/services/canal-et-satcon/,Official public source
PR048,payer_canal,Réabonnement SATCON,Réabonnement SATCON,USSD,*555*5#,4,Indiquer le statut de la carte.,No,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/canal-et-satcon/,Official public source
PR049,payer_canal,Réabonnement SATCON,Réabonnement SATCON,USSD,*555*5#,5,Choisir la durée ou la formule.,No,,https://moovmoney.ga/services/canal-et-satcon/,Official public source
PR050,payer_canal,Réabonnement SATCON,Réabonnement SATCON,USSD,*555*5#,6,Vérifier le récapitulatif.,Yes,,https://moovmoney.ga/services/canal-et-satcon/,Official public source
PR051,payer_canal,Réabonnement SATCON,Réabonnement SATCON,USSD,*555*5#,7,Confirmer avec le code PIN.,Yes,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/canal-et-satcon/,Official public source
PR052,payer_campus_france,Paiement Campus France,Paiement Campus France,USSD,*555#,1,Choisir Paiement.,No,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/campus-france/,Official public source
PR053,payer_campus_france,Paiement Campus France,Paiement Campus France,USSD,*555#,2,Choisir Campus France.,No,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/campus-france/,Official public source
PR054,payer_campus_france,Paiement Campus France,Paiement Campus France,USSD,*555#,3,Saisir le numéro de dossier.,No,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/campus-france/,Official public source
PR055,payer_campus_france,Paiement Campus France,Paiement Campus France,USSD,*555#,4,Choisir la nature des frais.,No,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/campus-france/,Official public source
PR056,payer_campus_france,Paiement Campus France,Paiement Campus France,USSD,*555#,5,Vérifier le récapitulatif.,Yes,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/campus-france/,Official public source
PR057,payer_campus_france,Paiement Campus France,Paiement Campus France,USSD,*555#,6,Valider avec le code PIN.,Yes,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/campus-france/,Official public source
PR058,devenir_marchand,Paiement marchand standard,Paiement marchand standard,USSD,*555#,1,Choisir Paiement.,No,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/marchand/standards-et-partenaires/,Official public source
PR059,devenir_marchand,Paiement marchand standard,Paiement marchand standard,USSD,*555#,2,Choisir Marchand.,No,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/marchand/standards-et-partenaires/,Official public source
PR060,devenir_marchand,Paiement marchand standard,Paiement marchand standard,USSD,*555#,3,Saisir le code marchand.,No,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/marchand/standards-et-partenaires/,Official public source
PR061,devenir_marchand,Paiement marchand standard,Paiement marchand standard,USSD,*555#,4,Saisir le montant.,No,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/marchand/standards-et-partenaires/,Official public source
PR062,devenir_marchand,Paiement marchand standard,Paiement marchand standard,USSD,*555#,5,Valider avec le code PIN.,Yes,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/marchand/standards-et-partenaires/,Official public source
PR063,transfert_cemac,Transfert CEMAC,Transfert CEMAC,USSD,*555#,1,Choisir GIMACPAY.,No,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/transfert-international/,Official public source
PR064,transfert_cemac,Transfert CEMAC,Transfert CEMAC,USSD,*555#,2,Choisir Transfert.,No,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/transfert-international/,Official public source
PR065,transfert_cemac,Transfert CEMAC,Transfert CEMAC,USSD,*555#,3,Choisir Transfert CEMAC.,No,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/transfert-international/,Official public source
PR066,transfert_cemac,Transfert CEMAC,Transfert CEMAC,USSD,*555#,4,Sélectionner le pays.,No,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/transfert-international/,Official public source
PR067,transfert_cemac,Transfert CEMAC,Transfert CEMAC,USSD,*555#,5,Sélectionner l’opérateur.,No,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/transfert-international/,Official public source
PR068,transfert_cemac,Transfert CEMAC,Transfert CEMAC,USSD,*555#,6,"Saisir le numéro, le montant et confirmer avec le code PIN.",Yes,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/transfert-international/,Official public source
PR069,transfert_cemac,Transfert CEMAC,Transfert CEMAC,Application,Application Moov Money,1,Choisir GIMACPAY.,No,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/transfert-international/,Official public source
PR070,transfert_cemac,Transfert CEMAC,Transfert CEMAC,Application,Application Moov Money,2,Choisir Transfert.,No,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/transfert-international/,Official public source
PR071,transfert_cemac,Transfert CEMAC,Transfert CEMAC,Application,Application Moov Money,3,Choisir Transfert CEMAC.,No,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/transfert-international/,Official public source
PR072,transfert_cemac,Transfert CEMAC,Transfert CEMAC,Application,Application Moov Money,4,Sélectionner le pays.,No,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/transfert-international/,Official public source
PR073,transfert_cemac,Transfert CEMAC,Transfert CEMAC,Application,Application Moov Money,5,Sélectionner l’opérateur.,No,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/transfert-international/,Official public source
PR074,transfert_cemac,Transfert CEMAC,Transfert CEMAC,Application,Application Moov Money,6,Saisir le numéro et le montant.,No,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/transfert-international/,Official public source
PR075,transfert_cemac,Transfert CEMAC,Transfert CEMAC,Application,Application Moov Money,7,Confirmer le récapitulatif.,Yes,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/transfert-international/,Official public source
PR076,transfert_cemac,Transfert CEMAC,Transfert CEMAC,Application,Application Moov Money,8,Saisir le code PIN.,Yes,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/transfert-international/,Official public source
PR077,activation_compte,Activation compte,Activation compte,USSD,*555#,1,"Après activation ou remise du mot de passe temporaire, composer le code.",No,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/devenir-client/,Official public source
PR078,activation_compte,Activation compte,Activation compte,USSD,*555#,2,Accéder à la fonction de changement de mot de passe.,No,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/devenir-client/,Official public source
PR079,activation_compte,Activation compte,Activation compte,USSD,*555#,3,Définir un nouveau code confidentiel.,No,,https://moovmoney.ga/devenir-client/,Official public source
PR080,activation_compte,Activation compte,Activation compte,USSD,*555#,4,Conserver le code PIN secret.,Yes,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/devenir-client/,Official public source
PR081,devenir_revendeur,Approvisionnement revendeur BGFIBank,Approvisionnement revendeur BGFIBank,Agence BGFIBank,Bordereau de versement,1,Se rendre dans une agence BGFIBank.,No,,https://moovmoney.ga/services/approvisionnement-via-les-agences-bgfi/,Official public source
PR082,devenir_revendeur,Approvisionnement revendeur BGFIBank,Approvisionnement revendeur BGFIBank,Agence BGFIBank,Bordereau de versement,2,Renseigner le code agent public indiqué par Moov Money.,No,,https://moovmoney.ga/services/approvisionnement-via-les-agences-bgfi/,Official public source
PR083,devenir_revendeur,Approvisionnement revendeur BGFIBank,Approvisionnement revendeur BGFIBank,Agence BGFIBank,Bordereau de versement,3,Renseigner le compte bénéficiaire public indiqué sur le site.,No,,https://moovmoney.ga/services/approvisionnement-via-les-agences-bgfi/,Official public source
PR084,devenir_revendeur,Approvisionnement revendeur BGFIBank,Approvisionnement revendeur BGFIBank,Agence BGFIBank,Bordereau de versement,4,Mettre son numéro Moov Money dans le motif.,No,,https://moovmoney.ga/services/approvisionnement-via-les-agences-bgfi/,Official public source
PR085,devenir_revendeur,Approvisionnement revendeur BGFIBank,Approvisionnement revendeur BGFIBank,Agence BGFIBank,Bordereau de versement,5,L’agence vérifie le profil revendeur et exécute l’approvisionnement.,No,,https://moovmoney.ga/services/approvisionnement-via-les-agences-bgfi/,Official public source
