faq_id,faq_type,intent,category,question,question_variants,answer,security_notice,source_url,confidence_score,validation_status
Q027,QA dérivée,payer_canal,TV,Le réabonnement Canal+ est-il payant ?,Le réabonnement Canal+ est-il payant ? | Le reabonnement Canal+ est-il payant ? | le réabonnement canal+ est-il payant  ?,La grille publique indique que le service est gratuit.,,https://moovmoney.ga/services/canal-et-satcon/,0.65,À valider
Q028,QA dérivée,payer_canal,TV,Puis-je payer SATCON ?,Puis-je payer SATCON ? | puis-je payer satcon  ?,"Oui, via le menu Paiement ou l’application.","Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/canal-et-satcon/,0.65,À valider
Q029,QA dérivée,payer_campus_france,Campus France,Quel montant dois-je payer pour Campus France ?,Quel montant dois-je payer pour Campus France ? | quel montant dois-je payer pour campus france  ?,La page du service annonce 80 000 FCFA de frais de dossier.,,https://moovmoney.ga/services/campus-france/,0.65,À valider
Q030,QA dérivée,payer_campus_france,Campus France,Quels sont les frais de service Campus France ?,Quels sont les frais de service Campus France ? | quels sont les frais de service campus france  ?,Le site est incohérent: 450 FCFA sur la page du service et 350 FCFA dans la grille tarifaire. Une confirmation Moov Money est nécessaire.,,https://moovmoney.ga/services/campus-france/,0.65,À valider
Q031,QA dérivée,payer_campus_france,Campus France,Quand le paiement est-il validé ?,Quand le paiement est-il validé ? | Quand le paiement est-il valide ? | quand le paiement est-il validé  ?,La page annonce une validation par Campus France dans un délai pouvant aller jusqu’à 72 heures.,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/campus-france/,0.65,À valider
Q032,QA dérivée,faq_gimacpay,GIMACPAY,Dans quels pays puis-je transférer via GIMACPAY ?,Dans quels pays puis-je transférer via GIMACPAY ? | Dans quels pays puis-je transferer via GIMACPAY ? | dans quels pays puis-je transférer via gimacpay  ?,"Gabon, Cameroun, Congo, Tchad, République centrafricaine et Guinée équatoriale.",,https://moovmoney.ga/services/transfert-international/,0.65,À valider
Q033,QA dérivée,faq_gimacpay,GIMACPAY,Comment faire un transfert CEMAC ?,Comment faire un transfert CEMAC ? | comment faire un transfert cemac  ?,"Choisissez GIMACPAY, Transfert, Transfert CEMAC, puis le pays, l’opérateur, le numéro et le montant.","Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/transfert-international/,0.65,À valider
Q034,QA dérivée,faq_remittence,Rémittence,Puis-je recevoir de l’argent depuis l’étranger ?,Puis-je recevoir de l’argent depuis l’étranger ? | Puis-je recevoir de l’argent depuis l’etranger ? | puis-je recevoir de l’argent depuis l’étranger  ?,"Oui, depuis les partenaires de rémittence listés par GIMACPAY.",,https://moovmoney.ga/services/remittence-entrante/,0.65,À valider
Q035,QA dérivée,faq_remittence,Rémittence,La réception de rémittence est-elle payante ?,La réception de rémittence est-elle payante ? | La reception de remittence est-elle payante ? | la réception de rémittence est-elle payante  ?,Le site l’annonce gratuite pour le receveur.,,https://moovmoney.ga/services/remittence-entrante/,0.65,À valider
Q036,QA dérivée,banking_uba,Banking,Puis-je relier mon compte UBA à Moov Money ?,Puis-je relier mon compte UBA à Moov Money ? | Puis-je relier mon compte UBA a Moov Money ? | puis-je relier mon compte uba à moov money  ?,"Oui, si le compte UBA et le wallet appartiennent au même particulier et utilisent le numéro enregistré.",,https://moovmoney.ga/moov-money-uba/,0.65,À valider
Q037,QA dérivée,banking_uba,Banking,Comment activer Moov Money Banking avec UBA ?,Comment activer Moov Money Banking avec UBA ? | comment activer moov money banking avec uba  ?,"En agence UBA avec formulaire et pièce d’identité, ou par auto-enrôlement via l’application UBA.","Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/moov-money-uba/,0.65,À valider
Q038,QA dérivée,banking_uba,Banking,Combien coûte un transfert de Moov Money vers UBA ?,Combien coûte un transfert de Moov Money vers UBA ? | Combien coute un transfert de Moov Money vers UBA ? | combien coûte un transfert de moov money vers uba  ?,"3% de 1 000 à 160 000 FCFA, puis 5 000 FCFA jusqu’à 500 000 FCFA.","Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/moov-money-uba/,0.65,À valider
Q039,QA dérivée,banking_uba,Banking,Combien coûte un transfert UBA vers Moov Money ?,Combien coûte un transfert UBA vers Moov Money ? | Combien coute un transfert UBA vers Moov Money ? | combien coûte un transfert uba vers moov money  ?,La grille publique indique 500 FCFA.,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/moov-money-uba/,0.65,À valider
Q040,QA dérivée,carte_visa,Visa,Faut-il un compte bancaire classique pour la carte Visa Moov Money ?,Faut-il un compte bancaire classique pour la carte Visa Moov Money ? | faut-il un compte bancaire classique pour la carte visa moov money  ?,"Non, la carte est prépayée et liée au compte Moov Money.","Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/carte-visa-uba-moov-money/,0.65,À valider
Q041,QA dérivée,carte_visa,Visa,Quel code donne accès à la carte Visa ?,Quel code donne accès à la carte Visa ? | Quel code donne acces a la carte Visa ? | quel code donne accès à la carte visa  ?,Le site indique *555*8*1#.,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/carte-visa-uba-moov-money/,0.65,À valider
Q042,QA dérivée,retrait_argent,Visa,Combien coûte un retrait sur un GAB UBA ?,Combien coûte un retrait sur un GAB UBA ? | Combien coute un retrait sur un GAB UBA ? | combien coûte un retrait sur un gab uba  ?,Le retrait sur GAB UBA est annoncé gratuit.,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/carte-visa-uba-moov-money/,0.65,À valider
Q043,QA dérivée,banking_uba,Visa,Combien coûte un achat internet international ?,Combien coûte un achat internet international ? | Combien coute un achat internet international ? | combien coûte un achat internet international  ?,"4,5% du montant selon la grille de la carte.","Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/carte-visa-uba-moov-money/,0.65,À valider
Q044,QA dérivée,faq_bgfi,BGFI,Puis-je retirer sans carte chez BGFIBank ?,Puis-je retirer sans carte chez BGFIBank ? | puis-je retirer sans carte chez bgfibank  ?,"Oui, via le service Moov Money Banking dans le réseau de GAB BGFI.","Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/moov-money-banking/,0.65,À valider
Q045,QA dérivée,retrait_argent,BGFI,Combien coûte le retrait BGFI ?,Combien coûte le retrait BGFI ? | Combien coute le retrait BGFI ? | combien coûte le retrait bgfi  ?,3% de 5 000 à 165 000 FCFA puis 5 000 FCFA au-delà.,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/moov-money-banking/,0.65,À valider
Q046,QA dérivée,devenir_marchand,Marchand,Comment devenir marchand standard ?,Comment devenir marchand standard ? | comment devenir marchand standard  ?,"Se rapprocher de la Division vente au CENACOM, constituer le dossier et obtenir une SIM liée à un code marchand.",,https://moovmoney.ga/devenir-marchand/,0.65,À valider
Q047,QA dérivée,devenir_marchand,Marchand,Comment payer un marchand standard ?,Comment payer un marchand standard ? | comment payer un marchand standard  ?,"Choisir Paiement puis Marchand, saisir le code marchand, le montant et le PIN.","Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/devenir-marchand/,0.65,À valider
Q048,QA dérivée,depot_argent,Revendeur,Quels documents faut-il pour devenir revendeur ?,Quels documents faut-il pour devenir revendeur ? | quels documents faut-il pour devenir revendeur  ?,"Une pièce d’identité, la fiche circuit de l’activité, un contrat signé et un dépôt initial.",,https://moovmoney.ga/devenir-revendeur/,0.65,À valider
Q049,QA dérivée,devenir_revendeur_plus,Revendeur,Qu’est-ce qu’un Revendeur Plus ?,Qu’est-ce qu’un Revendeur Plus ? | qu’est-ce qu’un revendeur plus  ?,"Un revendeur bénéficiant d’une facilité d’approvisionnement en UV garantie, annoncée jusqu’à 500 000 FCFA.",,https://moovmoney.ga/devenir-revendeur/,0.65,À valider
Q050,QA dérivée,devenir_revendeur_plus,Revendeur,Quel code utilise le Revendeur Plus ?,Quel code utilise le Revendeur Plus ? | quel code utilise le revendeur plus  ?,Le site indique *650# pour demander un approvisionnement automatique.,,https://moovmoney.ga/devenir-revendeur/,0.65,À valider
Q051,QA dérivée,devenir_revendeur,Revendeur,Comment approvisionner un compte revendeur chez BGFIBank ?,Comment approvisionner un compte revendeur chez BGFIBank ? | comment approvisionner un compte revendeur chez bgfibank  ?,"Présentez-vous en agence, renseignez le bordereau et votre numéro Moov Money dans le motif; l’agence vérifie puis crédite le compte.",,https://moovmoney.ga/devenir-revendeur/,0.65,À valider
Q052,QA dérivée,faq_support,Support,Quel est le numéro de contact Moov Money SA ?,Quel est le numéro de contact Moov Money SA ? | Quel est le numero de contact Moov Money SA ? | quel est le numéro de contact moov money sa  ?,+241 11 79 22 00 est affiché dans le pied de page du site.,,https://moovmoney.ga/contact/,0.65,À valider
Q053,QA dérivée,faq_support,Support,Quel est l’e-mail général Moov Money ?,Quel est l’e-mail général Moov Money ? | Quel est l’e-mail general Moov Money ? | quel est l’e-mail général moov money  ?,contact@moovmoney.ga est affiché dans le pied de page; une autre adresse apparaît sur la page Contact.,,https://moovmoney.ga/contact/,0.65,À valider
FAQ0054,Derived from official page,activer_compte,Compte,Comment fonctionne Création/activation du compte ?,Comment utiliser Création/activation du compte ? | Comment fonctionne Création/activation du compte ? | Je veux utiliser Création/activation du compte,"Ouvrir ou activer un compte lié à une SIM Moov identifiée. Canaux : En ligne, agence, distributeur agréé. Accès : *555# pour modifier le mot de passe temporaire. Conditions : Pièce d’identité; SIM au nom du client.",,https://moovmoney.ga/devenir-client/,0.82,Derived Q&A — validate
FAQ0055,Derived from official page,transfert_national,Transfert,Comment fonctionne Transfert national ?,Comment utiliser Transfert national ? | Comment fonctionne Transfert national ? | Je veux utiliser Transfert national,Envoyer de l’argent à un autre numéro au Gabon. Canaux : USSD; application. Accès : *555#. Conditions : Solde suffisant; numéro destinataire.,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/transfert-national/,0.82,Derived Q&A — validate
FAQ0056,Derived from official page,depot_argent,Dépôt,Comment fonctionne Dépôt d’espèces ?,Comment utiliser Dépôt d’espèces ? | Comment fonctionne Dépôt d’espèces ? | Je veux utiliser Dépôt d’espèces,Convertir des espèces en unités de valeur sur le compte. Canaux : Agent; agence; kiosque. Accès : Opération initiée par l’agent. Conditions : Compte actif.,,https://moovmoney.ga/services/depot/,0.82,Derived Q&A — validate
FAQ0057,Derived from official page,retrait_argent,Retrait,Comment fonctionne Retrait d’espèces ?,Comment utiliser Retrait d’espèces ? | Comment fonctionne Retrait d’espèces ? | Je veux utiliser Retrait d’espèces,Retirer des espèces chez un agent/revendeur. Canaux : USSD; application. Accès : *555#. Conditions : Compte actif; code agent; solde suffisant.,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/retrait/,0.82,Derived Q&A — validate
FAQ0058,Derived from official page,telecom,Télécom,Comment fonctionne Achat de crédit ?,Comment utiliser Achat de crédit ? | Comment fonctionne Achat de crédit ? | Je veux utiliser Achat de crédit,Acheter du crédit pour son numéro ou un tiers. Canaux : USSD; application. Accès : *555#. Conditions : Compte actif.,,https://moovmoney.ga/services/recharges/,0.82,Derived Q&A — validate
FAQ0059,Derived from official page,acheter_forfait_data,Télécom,Comment fonctionne Achat de forfait data ?,Comment utiliser Achat de forfait data ? | Comment fonctionne Achat de forfait data ? | Je veux utiliser Achat de forfait data,Acheter un pass internet pour mobile ou SpeedBox. Canaux : USSD; application; e-catalogue. Accès : *555*4#. Conditions : Compte actif.,,https://moovmoney.ga/services/achat-de-forfait/,0.82,Derived Q&A — validate
FAQ0060,Derived from official page,acheter_forfait_voix,Télécom,Comment fonctionne Achat de forfait voix ?,Comment utiliser Achat de forfait voix ? | Comment fonctionne Achat de forfait voix ? | Je veux utiliser Achat de forfait voix,Acheter un pass voix pour soi ou un tiers. Canaux : USSD; application; e-catalogue. Accès : *555*4#. Conditions : Compte actif.,,https://moovmoney.ga/services/achat-de-forfait/,0.82,Derived Q&A — validate
FAQ0061,Derived from official page,payer_seeg_edan,Factures,Comment fonctionne Paiement SEEG/EDAN ?,Comment utiliser Paiement SEEG/EDAN ? | Comment fonctionne Paiement SEEG/EDAN ? | Je veux utiliser Paiement SEEG/EDAN,Payer une facture ou acheter des unités MobileDan. Canaux : USSD; application. Accès : *555*6#. Conditions : Référence/compteur; compte actif.,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/paiement-seeg-et-edan/,0.82,Derived Q&A — validate
FAQ0062,Derived from official page,payer_gabon_telecom,Factures,Comment fonctionne Paiement Gabon Telecom ?,Comment utiliser Paiement Gabon Telecom ? | Comment fonctionne Paiement Gabon Telecom ? | Je veux utiliser Paiement Gabon Telecom,"Payer ADSL, DUO ou Fibre. Canaux : USSD; application. Accès : *555#. Conditions : Numéro fixe ou référence client.","Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/facture-gabon-telecom/,0.82,Derived Q&A — validate
FAQ0063,Derived from official page,payer_canal,TV,Comment fonctionne Réabonnement Canal+ ?,Comment utiliser Réabonnement Canal+ ? | Comment fonctionne Réabonnement Canal+ ? | Je veux utiliser Réabonnement Canal+,Renouveler un abonnement Canal+. Canaux : USSD; application. Accès : *555*5#. Conditions : Numéro de carte/abonné.,,https://moovmoney.ga/services/canal-et-satcon/,0.82,Derived Q&A — validate
FAQ0064,Derived from official page,payer_canal,TV,Comment fonctionne Réabonnement SATCON ?,Comment utiliser Réabonnement SATCON ? | Comment fonctionne Réabonnement SATCON ? | Je veux utiliser Réabonnement SATCON,Renouveler un abonnement SATCON. Canaux : USSD; application. Accès : *555*5#. Conditions : Numéro de carte/abonné.,,https://moovmoney.ga/services/canal-et-satcon/,0.82,Derived Q&A — validate
FAQ0065,Derived from official page,payer_campus_france,Éducation,Comment fonctionne Paiement Campus France ?,Comment utiliser Paiement Campus France ? | Comment fonctionne Paiement Campus France ? | Je veux utiliser Paiement Campus France,Payer les frais de dossier Campus France. Canaux : USSD; application. Accès : *555# > Paiement > Campus France. Conditions : Numéro de dossier.,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/campus-france/,0.82,Derived Q&A — validate
FAQ0066,Derived from official page,paiement_online,E-commerce,Comment fonctionne Moov Money Online ?,Comment utiliser Moov Money Online ? | Comment fonctionne Moov Money Online ? | Je veux utiliser Moov Money Online,Payer chez un marchand web partenaire. Canaux : Site marchand; validation mobile. Accès : Aucun code USSD requis au checkout. Conditions : Compte actif; numéro Moov Money.,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/moov-money-online-client/,0.82,Derived Q&A — validate
FAQ0067,Derived from official page,paiement_payxpress,Paiement,Comment fonctionne PayXpress ?,Comment utiliser PayXpress ? | Comment fonctionne PayXpress ? | Je veux utiliser PayXpress,Payer chez un marchand sans composer de code USSD. Canaux : Interface marchand; mobile du client. Accès : Aucun code USSD requis. Conditions : Compte actif; solde suffisant.,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/payxpress-client/,0.82,Derived Q&A — validate
FAQ0068,Derived from official page,devenir_marchand,Marchand,Comment fonctionne Paiement marchand standard ?,Comment utiliser Paiement marchand standard ? | Comment fonctionne Paiement marchand standard ? | Je veux utiliser Paiement marchand standard,Payer un marchand à partir de son code marchand. Canaux : USSD; application. Accès : *555#. Conditions : Code marchand; montant.,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/marchand/standards-et-partenaires/,0.82,Derived Q&A — validate
FAQ0069,Derived from official page,transfert_cemac,Interopérabilité,Comment fonctionne Transfert CEMAC GIMACPAY ?,Comment utiliser Transfert CEMAC GIMACPAY ? | Comment fonctionne Transfert CEMAC GIMACPAY ? | Je veux utiliser Transfert CEMAC GIMACPAY,"Envoyer de l’argent vers un opérateur membre dans la CEMAC. Canaux : USSD; application. Accès : *555# > GIMACPAY. Conditions : Pays, opérateur, numéro destinataire.","Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/transfert-international/,0.82,Derived Q&A — validate
FAQ0070,Derived from official page,interoperabilite,Interopérabilité,Comment fonctionne Rémittence entrante ?,Comment utiliser Rémittence entrante ? | Comment fonctionne Rémittence entrante ? | Je veux utiliser Rémittence entrante,Recevoir automatiquement un transfert international partenaire. Canaux : Réception automatique. Accès : Aucun. Conditions : Compte Moov Money valide.,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/remittence-entrante/,0.82,Derived Q&A — validate
FAQ0071,Derived from official page,devenir_marchand,Interopérabilité,Comment fonctionne Paiement marchand GIMACPAY ?,Comment utiliser Paiement marchand GIMACPAY ? | Comment fonctionne Paiement marchand GIMACPAY ? | Je veux utiliser Paiement marchand GIMACPAY,Payer un marchand membre du réseau GIMACPAY. Canaux : Selon partenaire. Accès : GIMACPAY. Conditions : Compte actif.,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/interoperabilite-gimacpay/,0.82,Derived Q&A — validate
FAQ0072,Derived from official page,retrait_argent,Interopérabilité,Comment fonctionne Retrait GAB GIMACPAY ?,Comment utiliser Retrait GAB GIMACPAY ? | Comment fonctionne Retrait GAB GIMACPAY ? | Je veux utiliser Retrait GAB GIMACPAY,Retirer auprès d’un GAB membre du réseau. Canaux : GAB partenaire. Accès : GIMACPAY. Conditions : Compte actif.,"Never request or disclose a PIN, password, OTP, or biometric data. The user must verify transaction details and confirm only through the secure Moov Money flow.",https://moovmoney.ga/services/interoperabilite-gimacpay/,0.82,Derived Q&A — validate
